GASKET 65MM (2.5 INCH),Fittings Accesories,STK,0
GASKET 75MM (2.5 INCH) 3MM THICKNESS,Fittings Accesories,STK,0
GASKET 75MM (2.5 INCH) 5MM THICKNESS,Fittings Accesories,STK,0
GASKET 80MM (3 INCH),Fittings Accesories,STK,0
C4400 GASKET 1200MM (48 INCH) X 3MM,Fittings Accesories,STK,0
C4400 GASKET 200MM (8 INCH) X 3MM,Fittings Accesories,STK,0
C4400 GASKET 300MM (12 INCH) X 3MM,Fittings Accesories,STK,0
C4400 GASKET 600MM (24 INCH) X 3MM,Fittings Accesories,STK,0
C4400 GASKET 800MM (32 INCH) X 3MM,Fittings Accesories,STK,0
MAXIFLEX GASKET 1200MM (48 INCH) X 4.5MM,Fittings Accesories,STK,0
MAXIFLEX GASKET 200MM (8 INCH) X 4.5MM,Fittings Accesories,STK,0
MAXIFLEX GASKET 300MM (12 INCH) X 4.5MM,Fittings Accesories,STK,0
MAXIFLEX GASKET 600MM (24 INCH) X 4.5MM,Fittings Accesories,STK,0
MAXIFLEX GASKET 800MM (32 INCH) X 4.5MM,Fittings Accesories,STK,0
GI PIPE EPOXY COAT DN150(6 INCH)CLASS B- 6M LENGTH,Fittings Accesories,STK,0
GI FITTING BACK NUT 11/5 INCH,Fittings Accesories,STK,0
GI FITTING BACK NUT 1/14 INCH,Fittings Accesories,STK,0
GI FITTING BACK NUT 1 INCH,Fittings Accesories,STK,0
GI FITTING BACK NUT 2 INCH,Fittings Accesories,STK,0
GI FITTING BACK NUT 3/4 INCH,Fittings Accesories,STK,0
STEEL BEND 90 DEGREE FEMALE - FEMALE 0.5 INCH,Fittings Accesories,STK,0
STEEL BEND 90 DEGREE FEMALE - FEMALE 0.75 INCH,Fittings Accesories,STK,0
STEEL BEND 90 DEGREE 3/4 INCH PLAIN,Fittings Accesories,STK,0
STEEL BEND 90 DEGREE FEMALE - FEMALE 1 1/4 INCH,Fittings Accesories,STK,0
